Recombination Mutation
1 0.001
0.0945901 0.001
0.0189948 0.001
0.0124273 0.001
0.00652514 0.001
0.00193329 0.001
0.0239758 0.001
0.00056122 0.001
0.00085717 0.001
0.049036 0.001
0.00142621 0.001
0.00068554 0.001
0.0013233 0.001
0.00012535 0.001
0.00412516 0.001
0.00296985 0.001
0.0461494 0.001
0.010072 0.001
0.00194707 0.001
0.0111416 0.001
0.00133663 0.001
0.0133869 0.001
0.0104397 0.001
0.11142 0.001
0.0327382 0.001
0.00746166 0.001
0.0169903 0.001
0.0028116 0.001
0.0569489 0.001
0.0153028 0.001
0.00496458 0.001
0.0131611 0.001
0.00365503 0.001
0.00063737 0.001
0.00500464 0.001
3.844e-05 0.001
0.00037276 0.001
0.00032941 0.001
0.00329962 0.001
0.0610599 0.001
0.0397498 0.001
0.0101049 0.001
0.0005857 0.001
0.00288278 0.001
0.00754398 0.001
0.00559083 0.001
0.0113391 0.001
0.0024592 0.001
0.00334262 0.001
0.00098373 0.001
0.00047687 0.001
0.0019346 0.001
0.00067051 0.001
0.00014552 0.001
0.00020237 0.001
0.00015047 0.001
2.458e-05 0.001
0.00031178 0.001
4.635e-05 0.001
0.00375537 0.001
0.103182 0.001
0.00085361 0.001
0.00015726 0.001
0.0006106 0.001
0.00096893 0.001
0.00032617 0.001
0.00034404 0.001
1.703e-05 0.001
0.000843 0.001
0.00018907 0.001
0.00010256 0.001
5.027e-05 0.001
0.00011263 0.001
0.00026657 0.001
0.00018212 0.001
0.00148728 0.001
0.00037396 0.001
0.0002734 0.001
0.00027068 0.001
0.00087855 0.001
0.00161056 0.001
6.701e-05 0.001
0.00100859 0.001
0.00014023 0.001
0.00041027 0.001
6.796e-05 0.001
0.00067958 0.001
3.84e-05 0.001
2.123e-05 0.001
3.72e-06 0.001
5.902e-05 0.001
0.00066698 0.001
7.068e-05 0.001
1.722e-05 0.001
0.00406144 0.001
0.00130591 0.001
0.00034248 0.001
0.00125774 0.001
0.00603888 0.001
0.00793798 0.001
0.00026423 0.001
0.00149483 0.001
0.00074903 0.001
0.00067989 0.001
1.165e-05 0.001
0.00093048 0.001
2.286e-05 0.001
2.114e-05 0.001
0.0003184 0.001
0.00029868 0.001
5.204e-05 0.001
0.00022121 0.001
3.554e-05 0.001
4.37e-05 0.001
0.00041019 0.001
0.00011711 0.001
9.239e-05 0.001
0.00098041 0.001
0.00111878 0.001
0.00128721 0.001
0.00879981 0.001
7.386e-05 0.001
0.00097773 0.001
0.00181677 0.001
0.00224621 0.001
0.0669541 0.001
0.0276904 0.001
0.0167937 0.001
0.00767651 0.001
0.00010902 0.001
8.175e-05 0.001
0.00058496 0.001
5.214e-05 0.001
4.5e-06 0.001
0.00059348 0.001
1.059e-05 0.001
1.081e-05 0.001
2.87e-06 0.001
1.64e-06 0.001
0.00071425 0.001
4.13e-06 0.001
1.56e-05 0.001
0.00050547 0.001
2.425e-05 0.001
1.15e-06 0.001
3.49e-06 0.001
5.91e-06 0.001
6.86e-06 0.001
1.227e-05 0.001
2.91e-06 0.001
5.79e-06 0.001
5.53e-06 0.001
4.861e-05 0.001
1.778e-05 0.001
0.00160872 0.001
0.00014016 0.001
5.998e-05 0.001
1.28e-05 0.001
9.47e-06 0.001
1.97e-05 0.001
0.00097037 0.001
0.00124003 0.001
0.00088485 0.001
0.00106164 0.001
2.074e-05 0.001
5.7e-06 0.001
2.3e-07 0.001
1.68e-06 0.001
1.7e-06 0.001
1.386e-05 0.001
4.5e-07 0.001
1.05e-06 0.001
3.74e-06 0.001
6.65e-06 0.001
0.00047864 0.001
0.00061265 0.001
2.4e-07 0.001
1.6e-07 0.001
1.8e-07 0.001
4e-07 0.001
9.1e-07 0.001
1.81e-06 0.001
9.7e-07 0.001
2.05e-06 0.001
1e-06 0.001
1.42e-06 0.001
1.85e-06 0.001
1.39e-06 0.001
3.8e-07 0.001
1.8e-07 0.001
7.9e-06 0.001
0.00072848 0.001
5.78e-06 0.001
6.67e-06 0.001
